Process id: 11300; Coordenate x: 0.41; Coordenate y: -0.82
Process id: 11300; Coordenate x: -0.20; Coordenate y: 0.21
Process id: 11300; Coordenate x: -0.60; Coordenate y: 0.23
Process id: 11300; Coordenate x: -0.23; Coordenate y: -0.30
Process id: 11301; Coordenate x: -0.39; Coordenate y: 0.69
Process id: 11301; Coordenate x: 0.01; Coordenate y: -0.51
Process id: 11301; Coordenate x: 0.19; Coordenate y: -0.23
Process id: 11301; Coordenate x: -0.59; Coordenate y: 0.17
Process id: 11301; Coordenate x: 0.38; Coordenate y: -0.90
Process id: 11301; Coordenate x: -0.16; Coordenate y: 0.36
Process id: 11301; Coordenate x: -0.47; Coordenate y: -0.12
Process id: 11301; Coordenate x: -0.03; Coordenate y: -0.34
Process id: 11300; Coordenate x: 0.16; Coordenate y: -0.87
Process id: 11301; Coordenate x: -0.61; Coordenate y: -0.66
Process id: 11301; Coordenate x: -0.81; Coordenate y: 0.34
Process id: 11300; Coordenate x: 0.40; Coordenate y: 0.63
Process id: 11301; Coordenate x: 0.51; Coordenate y: 0.44
Process id: 11300; Coordenate x: 0.27; Coordenate y: -0.20
Process id: 11301; Coordenate x: 0.13; Coordenate y: 0.31
Process id: 11300; Coordenate x: 0.70; Coordenate y: 0.67
Process id: 11301; Coordenate x: -0.38; Coordenate y: -0.25
Process id: 11301; Coordenate x: 0.09; Coordenate y: 0.81
Process id: 11301; Coordenate x: 0.52; Coordenate y: 0.00
Process id:11301; Points generated by child: 20; Points inside polygon: 15;
Process id: 11300; Coordenate x: 0.09; Coordenate y: 0.17
Process id: 11300; Coordenate x: 0.27; Coordenate y: 0.03
Process id: 11300; Coordenate x: -0.86; Coordenate y: -0.32
Process id: 11300; Coordenate x: 0.21; Coordenate y: 0.73
Process id: 11300; Coordenate x: -0.06; Coordenate y: 0.18
Process id: 11300; Coordenate x: 0.25; Coordenate y: -0.04
Process id:11300; Points generated by child: 20; Points inside polygon: 14;
Process id: 11302; Coordenate x: -0.97; Coordenate y: 0.02
Process id: 11302; Coordenate x: 0.14; Coordenate y: 0.64
Process id: 11311; Coordenate x: -0.19; Coordenate y: 0.71
Process id: 11302; Coordenate x: -0.04; Coordenate y: 0.67
Process id: 11311; Coordenate x: -0.50; Coordenate y: -0.73
Process id: 11311; Coordenate x: 0.24; Coordenate y: 0.12
Process id: 11311; Coordenate x: -0.43; Coordenate y: -0.04
Process id: 11302; Coordenate x: -0.90; Coordenate y: -0.27
Process id: 11311; Coordenate x: -0.76; Coordenate y: 0.02
Process id: 11302; Coordenate x: -0.57; Coordenate y: -0.70
Process id: 11311; Coordenate x: -0.28; Coordenate y: 0.69
Process id: 11311; Coordenate x: -0.82; Coordenate y: 0.06
Process id: 11302; Coordenate x: -0.94; Coordenate y: -0.14
Process id: 11311; Coordenate x: -0.63; Coordenate y: 0.08
Process id: 11302; Coordenate x: 0.68; Coordenate y: -0.32
Process id: 11302; Coordenate x: 0.61; Coordenate y: -0.23
Process id: 11302; Coordenate x: -0.51; Coordenate y: 0.13
Process id: 11311; Coordenate x: -0.18; Coordenate y: -0.36
Process id: 11302; Coordenate x: 0.78; Coordenate y: -0.11
Process id: 11302; Coordenate x: 0.05; Coordenate y: 0.95
Process id: 11311; Coordenate x: 0.34; Coordenate y: -0.50
Process id: 11302; Coordenate x: -0.34; Coordenate y: 0.08
Process id: 11302; Coordenate x: -0.03; Coordenate y: 0.80
Process id: 11302; Coordenate x: -0.27; Coordenate y: 0.92
Process id:11302; Points generated by child: 20; Points inside polygon: 14;
Process id: 11311; Coordenate x: -0.73; Coordenate y: 0.34
Process id: 11311; Coordenate x: -0.65; Coordenate y: 0.15
Process id: 11311; Coordenate x: -0.44; Coordenate y: -0.02
Process id: 11311; Coordenate x: 0.73; Coordenate y: 0.06
Process id: 11311; Coordenate x: 0.25; Coordenate y: -0.03
Process id:11311; Points generated by child: 20; Points inside polygon: 15;
Process id: 11319; Coordenate x: -0.33; Coordenate y: 0.09
Process id: 11319; Coordenate x: -0.11; Coordenate y: -0.82
Process id: 11319; Coordenate x: -0.40; Coordenate y: 0.08
Process id: 11319; Coordenate x: -0.62; Coordenate y: -0.45
Process id: 11319; Coordenate x: -0.28; Coordenate y: 0.20
Process id: 11319; Coordenate x: -0.49; Coordenate y: 0.44
Process id: 11316; Coordenate x: -0.02; Coordenate y: 0.49
Process id: 11312; Coordenate x: -0.16; Coordenate y: -0.36
Process id: 11316; Coordenate x: -0.14; Coordenate y: -0.93
Process id: 11312; Coordenate x: -0.90; Coordenate y: 0.02
Process id: 11316; Coordenate x: 0.15; Coordenate y: -0.43
Process id: 11316; Coordenate x: 0.50; Coordenate y: -0.46
Process id: 11312; Coordenate x: 0.70; Coordenate y: -0.52
Process id: 11316; Coordenate x: 0.57; Coordenate y: 0.57
Process id: 11316; Coordenate x: 0.33; Coordenate y: -0.85
Process id: 11316; Coordenate x: 0.12; Coordenate y: 0.35
Process id: 11316; Coordenate x: -0.04; Coordenate y: 0.08
